as_of,ticker,rank,entry_price,robust_return,expected_irr,median_irr,p10_irr,p90_irr,business_quality,evidence_confidence
2026-06-26,UHS,1,145.69,0.16518373993915808,0.3155868919478962,0.33504099451820357,0.15706265460466962,0.435202924150508,0.7862,0.76815
2026-06-26,CTSH,2,40.03,0.13317881024512088,0.2623844973742962,0.27241337862797077,0.16726066796109082,0.3374505642801524,0.8726,0.8738
2026-06-26,VICI,3,27.21,0.10963492121517783,0.29982140781306554,0.3484060858649538,0.15406737365740075,0.3484060858649538,0.4592533119229225,0.48
2026-06-26,ACN,4,128.98,0.09064051272784213,0.2118599421621184,0.22315296771121215,0.12383046199101957,0.2773033712350297,0.9914,0.8787
2026-06-26,TTD,5,18.37,0.08554037930803385,0.2599614327191376,0.2902443968690933,0.08415612434037031,0.37520081279799333,0.9118,0.713
2026-06-26,OMC,6,73.09,0.08151662508210049,0.26999260513402984,0.27685309546650383,0.184619766403921,0.34164446319919073,0.8037,0.5197004550000001
2026-06-26,ARE,7,55.22,0.06149803558043024,0.22445059907586368,0.24812090745922966,0.15343967392576574,0.24812090745922966,0.6740484837747658,0.48
2026-06-26,BXP,8,67.4,0.04357107850278613,0.19436762315078293,0.2207537357541054,0.11520928534081554,0.2207537357541054,0.6362701860264616,0.48
2026-06-26,CMCSA,9,23.17,0.032535133987450504,0.19574763439595702,0.19046699528116737,0.15697500905953343,0.2450815379619599,0.7638,0.4617074115
2026-06-26,CPT,10,116.31,0.024622727259722234,0.19747226111873417,0.233200919529847,0.09028628588539567,0.233200919529847,0.5401738393046427,0.48
2026-06-26,CPAY,11,332.48,0.022686864907153215,0.19275511456726238,0.20872281795891473,0.06848797224811282,0.28508685010310725,0.9886,0.8363
2026-06-26,AVB,12,190.12,0.009527125658839841,0.18911121686747412,0.22591973881391136,0.07868565102816238,0.22591973881391136,0.5274293816119534,0.48
2026-06-26,ADBE,13,202.73,0.004675810174568029,0.17292697383236377,0.18416058871080176,0.07435722687223463,0.249029491035617,0.9778,0.78426
